sec_exec_ratio,sec_entropy_std,sec_write_ratio,sec_entropy_max,sec_exec_count,sec_write_count,hdr_sizeof_headers,datadir_nonempty,imp_available,imp_func_count,imp_dll_count,sec_entropy_min,hdr_sizeof_code,exp_available,exp_count,hdr_major_subsys_ver,sec_rawsize_mean,sec_count,sec_read_count,sec_rawsize_max,sec_entropy_mean,sec_virtsize_mean,gen_size,gen_vsize,gen_has_debug,gen_has_relocations,gen_has_resources,gen_has_signature,gen_has_tls,gen_symbols,hdr_sizeof_init,hdr_sizeof_uninit,hdr_sizeof_heap_commit,hdr_subsystem,hdr_dll_characteristics,hdr_magic,hdr_major_linker_ver,hdr_minor_linker_ver,hdr_major_os_ver,hdr_minor_os_ver,hdr_major_img_ver,hdr_minor_img_ver,hdr_minor_subsys_ver,hdr_file_alignment,hdr_machine,hdr_timestamp,hdr_characteristics,datadir_count,sec_high_entropy_frac,sec_std_name_frac,imp_has_gui_libs,dd_resource_size,dd_cert_present,is_dll,has_upx_sections,has_inno_sections,imp_has_crt,label
0.14285715,2.9878626,0.5714286,7.290209,1.0,4.0,1024.0,3.0,1.0,163.0,7.0,0.0,37888.0,0.0,0.0,4.0,26989.715,7.0,7.0,93696.0,3.870785,75520.57,1048576.0,548864.0,0.0,0.0,1.0,1.0,0.0,0.0,61952.0,129024.0,4096.0,2.0,33088.0,267.0,2.0,41.0,4.0,0.0,6.0,0.0,0.0,512.0,332.0,1712802200.0,783.0,16.0,0.14285715,0.85714287,1.0,93312.0,1.0,0.0,0.0,0.0,0.0,0
0.2,2.3165934,0.5,6.356058,2.0,5.0,1024.0,6.0,1.0,138.0,7.0,0.0,741376.0,1.0,3.0,6.0,81664.0,10.0,10.0,735232.0,3.354089,84246.5,1048576.0,872448.0,0.0,0.0,1.0,0.0,1.0,0.0,75264.0,0.0,4096.0,2.0,33088.0,267.0,2.0,25.0,6.0,1.0,6.0,0.0,1.0,512.0,332.0,1605433700.0,33167.0,16.0,0.0,0.8,1.0,54984.0,0.0,0.0,0.0,1.0,0.0,0
0.2,2.0574758,0.2,6.267142,1.0,1.0,1024.0,4.0,1.0,76.0,6.0,0.020393135,32256.0,0.0,0.0,5.0,9011.2,5.0,5.0,32256.0,3.8126812,11700.0,1048576.0,69632.0,0.0,0.0,1.0,0.0,0.0,0.0,27136.0,0.0,4096.0,2.0,33024.0,523.0,8.0,0.0,4.0,0.0,0.0,0.0,2.0,512.0,34404.0,1770897700.0,35.0,16.0,0.0,1.0,1.0,4072.0,0.0,0.0,0.0,0.0,0.0,0
0.083333336,1.8576351,0.5,6.721177,1.0,6.0,1024.0,7.0,0.0,0.0,0.0,0.0,1522688.0,0.0,0.0,5.0,141440.0,12.0,12.0,1522688.0,0.56009805,164357.83,1048576.0,2007040.0,0.0,1.0,1.0,0.0,1.0,0.0,1697280.0,279040.0,4096.0,3.0,352.0,523.0,2.0,38.0,4.0,0.0,0.0,0.0,2.0,512.0,34404.0,0.0,8750.0,16.0,0.0,1.0,0.0,824.0,0.0,1.0,0.0,0.0,0.0,0
0.2,2.6545188,0.4,7.6603365,1.0,2.0,1024.0,4.0,1.0,166.0,7.0,0.0,29184.0,0.0,0.0,4.0,14540.8,5.0,5.0,31744.0,4.558586,109896.2,1048576.0,565248.0,0.0,0.0,1.0,1.0,0.0,0.0,195072.0,2048.0,4096.0,2.0,34112.0,267.0,6.0,0.0,4.0,0.0,6.0,0.0,0.0,512.0,332.0,1741475100.0,271.0,16.0,0.2,0.8,1.0,31408.0,1.0,0.0,0.0,0.0,0.0,0
0.2,1.9896319,0.2,7.794667,1.0,1.0,1024.0,7.0,1.0,95.0,2.0,2.037258,96256.0,0.0,0.0,6.0,30105.6,5.0,5.0,96256.0,5.6218605,31090.2,151552.0,176128.0,1.0,1.0,1.0,0.0,0.0,0.0,60416.0,0.0,4096.0,2.0,33088.0,267.0,14.0,29.0,6.0,0.0,0.0,0.0,0.0,512.0,332.0,1649151100.0,258.0,16.0,0.2,1.0,1.0,12552.0,0.0,0.0,0.0,0.0,0.0,0
0.16666667,3.4591398,0.33333334,7.999826,1.0,2.0,1024.0,4.0,0.0,0.0,0.0,0.0,10752.0,0.0,0.0,5.0,1337088.0,6.0,6.0,7990784.0,3.4008296,6218279.5,1048576.0,37330944.0,1.0,1.0,1.0,1.0,0.0,0.0,8012800.0,29287424.0,4096.0,2.0,33088.0,267.0,10.0,0.0,5.0,1.0,0.0,0.0,1.0,512.0,332.0,1770856600.0,290.0,16.0,0.16666667,0.8333333,0.0,18552.0,1.0,0.0,0.0,1.0,0.0,0
0.2,2.3955612,0.5,6.357635,2.0,5.0,1024.0,6.0,1.0,142.0,7.0,0.0,741888.0,1.0,3.0,6.0,94105.6,10.0,10.0,735744.0,3.4416478,96767.9,1048576.0,995328.0,0.0,0.0,1.0,0.0,1.0,0.0,199168.0,0.0,4096.0,2.0,33088.0,267.0,2.0,25.0,6.0,1.0,6.0,0.0,1.0,512.0,332.0,1676472800.0,33167.0,16.0,0.0,0.8,1.0,179064.0,0.0,0.0,0.0,1.0,0.0,0
0.6666667,3.7711513,1.0,7.99982,2.0,3.0,4096.0,7.0,0.0,0.0,0.0,0.0,11476992.0,0.0,0.0,5.0,3852117.2,3.0,3.0,11473920.0,2.6666067,18023766.0,1048576.0,54075390.0,0.0,1.0,1.0,1.0,1.0,0.0,86016.0,42508290.0,4096.0,2.0,33088.0,267.0,14.0,16.0,5.0,1.0,0.0,0.0,1.0,512.0,332.0,1770981100.0,258.0,16.0,0.33333334,0.33333334,0.0,81156.0,1.0,0.0,1.0,0.0,0.0,0
0.2,2.5519228,0.5,7.2394457,2.0,5.0,1024.0,7.0,1.0,142.0,7.0,0.0,741888.0,1.0,3.0,6.0,85657.6,10.0,10.0,735744.0,3.565828,88328.3,1048576.0,913408.0,0.0,0.0,1.0,1.0,1.0,0.0,114688.0,0.0,4096.0,2.0,33088.0,267.0,2.0,25.0,6.0,0.0,6.0,0.0,0.0,512.0,332.0,1676472800.0,33167.0,16.0,0.1,0.8,1.0,94668.0,1.0,0.0,0.0,1.0,0.0,0
